,OS,LA_MMS,LA_rsFC,Subject_left,Subject_right
271,-1.0799069670692483,-0.15253474294744043,-0.07306552657913551,21,23
272,-1.0799069670692483,0.2297512259844864,0.31686453852134855,21,24
273,-0.8056238478258931,0.28623145722132926,0.16694883527561197,22,23
274,0.47436404197643084,0.39916980401066327,-0.5140892295950827,22,24
275,-0.8056238478258931,0.15519334247028985,0.23429667777253418,23,24
276,-0.25705760933918276,0.22890209720694632,0.27569242722849496,2,1
277,1.754351931778755,0.3215440549877989,0.5767393092038295,3,1
278,1.754351931778755,0.40483969806541575,-3.4394254518784835,4,1
279,1.754351931778755,0.31661482163892674,0.6161022052532633,5,1
280,-0.25705760933918276,0.1934087776250516,0.6061022722716922,6,1
281,1.754351931778755,0.3591578117559097,-0.7146052311321338,7,1
282,-0.25705760933918276,0.402587682360901,0.6972993226933244,8,1
283,-1.0799069670692483,0.3988443454472052,0.62988922873926,9,1
284,1.754351931778755,0.3732367467070147,0.9620891103613619,10,1
285,0.47436404197643084,0.3231127147255072,0.46706101220587554,11,1
286,-0.25705760933918276,0.2724520673106543,0.20310580164493452,12,1
287,-1.3541900863126035,0.3038584173952229,-0.2118883145360126,13,1
288,1.754351931778755,0.3186398708458238,0.8356830486706801,14,1
289,1.114357986877593,0.37263944742595434,0.731924348069189,15,1
290,1.754351931778755,0.3422802984419218,0.2060562046935716,16,1
291,-0.25705760933918276,0.3132548560374292,0.37664239158842283,17,1
292,1.114357986877593,0.08817485023430423,0.9989050848067685,18,1
293,1.114357986877593,-3.414372785081234,0.6984054930381175,19,1
294,0.47436404197643084,0.4410216904726962,1.0216965221413086,20,1
295,-1.0799069670692483,0.3411651433148759,0.36942246898463593,21,1
296,1.114357986877593,0.3614357236609614,0.0718032386073836,22,1
297,-0.8056238478258931,0.09596294724530617,0.5135874765246653,23,1
298,0.47436404197643084,0.39572171670473333,0.3587553495287006,24,1
299,-0.25705760933918276,0.00200612343889114,-0.12978575088848493,3,2
300,-0.25705760933918276,0.2070168802490881,-2.917868410864416,4,2
301,-0.25705760933918276,0.06242442614768347,0.31337079101301923,5,2
