,SO,LA_MMS,LA_rsFC,LA_MMS_o,LA_rsFC_o,Subject_left,Subject_right
178,-1.0430027261093961,0.31430570864087515,1.0256126809237027,-0.19276408446611137,-0.037974938959858484,10,18
179,-1.6117101260806654,-1.130902962593378,0.531824686736918,-0.43860610655001864,-0.08847600776793918,10,19
180,-1.0430027261093961,-0.7173208274232357,0.9248304973907032,-0.36825234350404046,-0.0482822126180823,10,20
181,1.1989839194919665,-0.9413101273306921,0.2259885578430788,-0.40635478746971343,-0.11975471760109568,10,21
182,-1.0430027261093961,0.728542925158493,-0.1607530322082808,-0.12229888663130417,-0.15930785352189802,10,22
183,0.4663307518235148,0.5736778142931191,0.4517422312693449,-0.14864273078557222,-0.09666626277919843,10,23
184,,-0.2657049664852644,0.21800886409081868,-0.29142872718617285,-0.12057082303094513,10,24
185,0.9485618108852598,1.389971993158933,0.8380008739728733,-0.00978429771492928,-0.05716251922421023,11,12
186,0.48266455937134656,1.2754977923584643,-0.5066090802150098,-0.029257311931756402,-0.1946795115688772,11,13
187,0.2815961298560189,0.4205727523491755,0.9427338428501926,-0.17468717597107997,-0.046451187782345804,11,14
188,0.6275864838067243,-0.004478706759721356,0.8476281898636815,-0.2469919664673922,-0.056177906904829045,11,15
189,0.48266455937134656,0.07824460153039665,0.4103703336566717,-0.23292004329926952,-0.1008974815869772,11,16
190,-0.06439422409468612,0.04278616027224873,0.35459394725173177,-0.23895181924440123,-0.1066018874471093,11,17
191,0.6275864838067243,0.40676312064860753,0.8014677096113589,-0.17703630924786984,-0.060898867351175556,11,18
192,-1.1585117910267515,-0.21384661718876555,0.6136654960801465,-0.2826071904027706,-0.08010592102502823,11,19
193,0.6275864838067243,0.24742888649247602,0.7164811115173861,-0.20414038846618843,-0.06959068264161561,11,20
194,-0.06439422409468612,0.23701860710098424,0.5474818235325077,-0.2059112636256054,-0.08687470892722149,11,21
195,0.6275864838067243,0.5672195451809366,-0.3917387302704532,-0.1497413361076293,-0.18293140202621383,11,22
196,-0.8149526829283397,0.23685670118499588,0.38911798379874946,-0.20593880516930507,-0.1030710183986121,11,23
197,,-0.6272512991079934,0.27295727200074715,-0.3529307671739924,-0.11495109682977689,11,24
198,1.961517845865206,1.2613239009416082,-0.5632692972971116,-0.03166840881767652,-0.20047430924567455,12,13
